كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الرابع الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | القيم
الأعداد و العمليات عليها | ممارسة فهم المسألة والمثابرة في حلها | تحليل المسألة الرياضية | يحلل المسائل المرتبطة بالأعداد والعمليات عليها (بالجمع والطرح و بالضرب والقسمة) | يربط المسألة بسياق حياتي مناسب | يعرضالسياقالحياتيالمناسبويربطه بسياقمكافئرياضياًيُظهرفهمه | يذكرالسياقالمكتوبفيالمسألةدونالقدرةعلىإيجادسياقحياتيبديلله | يتجاهل السياق الحياتي كلياً ويتعامل مع المسألة كأرقام مجردة فقط | 
الأعداد و العمليات عليها | ممارسة فهم المسألة والمثابرة في حلها | اختيار الاستراتيجية المناسبة للحل | يوظف استراتيجيات متنوعة للحل | يستخدم التمثيل أو الرسم عند الحاجة | يرسمنموذجاًتوضيحياًيعكسبنيةالمسألةويوظفهللانتقالإلىالجملةالعددية | يرسممجموعاتأوصفوفلكنهلايربطالرسمبالجملةالعدديةالصحيحة |  | المثابرة والصبر والتفكير المنظَّم في حل المشكلات واتخاذ القرار، التنظيم والمرونة، الدقة والامانة العلمية ،تحمل المسؤولية، احترام آراء الآخرين،
الأعداد و العمليات عليها | ممارسة فهم المسألة والمثابرة في حلها | اختيار الاستراتيجية المناسبة للحل | يوظف استراتيجيات متنوعة للحل | يختار استراتيجية مناسبة للحل | يوازنبيناستراتيجيتينمختلفتينويختارالأكثركفاءةًمبرراًاختياره | يختاراستراتيجيةمألوفةدونمقارنتهابغيرهاأوتبريراختياره |  | 
الأعداد و العمليات عليها | ممارسة فهم المسألة والمثابرة في حلها | اختيار الاستراتيجية المناسبة للحل | يوظف استراتيجيات متنوعة للحل | يتحقق من معقولية الحل | يتحقق بتقديرالناتجالمتوقعومقارنتهبالحلالفعليمستخدماًخطواتمختلفةعنخطواتالحلالأصلي | يتحققمنالحلبإعادةالضربأوالقسمةذاتهادونتغييرالأسلوب | يرى الحل منتهياً بمجرد كتابة الناتج دون أي مراجعة لمعقوليته | 
[TABLE 2]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | القيم
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | فهم معنى الكسر (العادي، العشري) | يفهم الكسور(العادية، العشرية) بوصفها أجزاء من كل | يحدد البسط والمقام في الكسر | يشرحأنالمقاميحددعددالأجزاءالمتساويةوالبسطيحددعددالأجزاءالمأخوذةبمثالملموس | يحددالبسطوالمقامبدقةلكنهيصفهمابتعريفحفظيدونربطهبالكلالمقسوم | يعكسالبسطوالمقامأولايدركتأثيرتغييركلمنهماعلىقيمةالكسر | الدقة والنظام والتأمل،حب الاستكشاف، التفكير التحليلي،المثابرة، الثقة بالنفس،الرغبة في التعلم
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | فهم معنى الكسر (العادي، العشري) | يفهم الكسور(العادية، العشرية) بوصفها أجزاء من كل | يفسر معنى الكسر في تمثيلات مختلفة | يقرأالكسرمن جزء مظلل من شكل هندسي وخطأعدادومجموعةمنفصلة شارحاالمعنىفيكلتمثيل | يقرأالكسر جزء مظلل من شكل هندسيبدقةلكنهيرتبكحينيمثَلعلى خط الأعداد أو بمجموعةمنفصلةمنالأشياء | يقرأالكسررقمياًفقطولايستطيعتفسيرهمنأيرسمأونموذج | 
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | فهم معنى الكسر (العادي، العشري) | يفهم الكسور(العادية، العشرية) بوصفها أجزاء من كل | يربط بين الكسر والكمية التي يمثلها | يعبر بالرموز عن الكسور الممثلة بالأشكال أو الرسومات والعكس صحيح | يعبر بالرموز عن الكسور الممثلة بالأشكال أو الرسومات ولا يستطيع التعبير بالرسم عن كسر معطى له | يفهمالكسربوصفهرمزاًمجرداًولايدركارتباطهبكميةفعليةقابلةللقياسأوالعرض | 
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | فهم معنى العدد الكسري | يفهم معنى العدد الكسر والكسر غير الحقيقي | يفسر معنى العدد الكسري والكسر غير الحقيقي | يفسر معنى العدد الكسري والكسر غير الحقيقي ويميز بينهما بدقة. | يفسر معنى العدد الكسري والكسر غير الحقيقي مع وجود بعض التردد أو الأخطاء البسيطة. | يحاول تفسير معنى العدد الكسري والكسر غير الحقيقي ويحتاج إلى دعم للتمييز بينهما. | الدقة والتأمل والتنظيم،التفكير التحليلي،حب الاستطلاع، المثابرة، الثقة بالنفس،الوعي بالموارد البيئية، المحافظة على البيئة، الانتماء للوطن وتحمل المسؤولية
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي |  | يفهم معنى العدد الكسر والكسر غير الحقيقي | يقرأ الاعداد الكسرية ويكتبها | يقرأ الأعداد الكسرية ويكتبها بصورة صحيحة. | يقرأ الأعداد الكسرية ويكتبها مع بعض الأخطاء البسيطة. | يحاول قراءة الأعداد الكسرية وكتابتها الا انه يخطىء في اغلب الحالات. | 
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي |  | يفهم معنى العدد الكسر والكسر غير الحقيقي | يمثل الاعداد الكسرية على خط الاعداد | يمثل الأعداد الكسرية على خط الأعداد بدقة. | يمثل الأعداد الكسرية على خط الأعداد مع بعض الأخطاء البسيطة في التحديد الدقيق. | لا يستطيع تمثيل الاعداد الكسرية على خط الاعداد | 
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي |  | يفهم معنى العدد الكسر والكسر غير الحقيقي | يحول العدد الكسري لكسر غير حقيقي وبالعكس | يحول العدد الكسري إلى كسر غير حقيقي وبالعكس بدقة | يحول العدد الكسري إلى كسر غير حقيقي ويخفق في تحويل الكسر غير الحقيقي لعدد كسري | لا يستطيع التحويل الا بمساعدة المعلم. | 
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | فهم بنية الأعداد العشرية | يفهم القيمة المكانية للأعداد العشرية | يحدد قيمة المنزلة في الأعداد العشرية | يحددقيمةكلرقمبدقةفيعددعشرييمتدإلىأجزاءمن مئة معبراعنها بصيغةموسعة | يحددقيمةالمنازلالصحيحةبدقةلكنهيخطئفيتحديدقيمأجزاءالمئة | يحددقيمةرقم المنزلةالعشرية أحياناًلكنهيعاملالأرقامبعدالفاصلةكأعدادصحيحة | التفكير التحليلي،التنظيم والدقة ،حب الاستكشاف،تذوق جمال التقسيم المنظم،المثابرة والصبر
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | فهم بنية الأعداد العشرية | يفهم القيمة المكانية للأعداد العشرية | يقرأ الأعداد العشرية | يقرأ الأعداد العشرية بدقة وطلاقة، مستخدما أسماء المنازل العشرية المناسبة | يقرأ معظم الأعداد العشرية بصورة صحيحة، إلا أنه يتردد أحيانا في تسمية بعض المنازل العشرية | يقرأ الأرقام بعد الفاصلة كأعداد صحيحة فيقرأ 0.25 كـ خمسة وعشرون متجاهلاً قيمتها المكانية | 
الاعداد والعمليات عليها/ الكسور | ممارسة التفكير الكمي والتجريدي | فهم بنية الأعداد العشرية | يفهم القيمة المكانية للأعداد العشرية | يكتب الاعداد العشرية | يكتب الاعداد العشرية حتى جزء من مئة بصيغ متعددة بدقة | يكتب الاعداد العشرية حتى جزء من عشرة وبصيغتين على الاكثر | يحاول كتابةلأعداد العشرية، لكنه يخلط بين قيمة المنازل العشرية أو يكتب العدد كتابة غير دقيقة | 
