كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الأول الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | يحاول | القيم
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | تفسير نتائج القياس | يقارن تقدير الأطوال بالقياس الفعلي | يقارن تقدير الطول بصرياً مع القياس الفعلي. | يربط بين تقديره البصري والقياس الفعلي ليحدد بدقة ما إذا كان تخمينه (أكبر، أصغر، أو متساوٍ) للقياس الحقيقي. | يقارن بين التقدير والقياس الحقيقي خاصة في الأطوال غير الكبيرة، ويستوعب الفارق بين القياسين ويحتاج لإعادة القياس أحيانا. | استخدامه لأدوات القياس بالشكل غير الصحيح يؤثر سلبيا على مقارنة القياسات ويحتاج لمساعدة ومحاولات متعددة لتصحيح مسار عمله. | استخدامه لأدوات القياس بالشكل غير الصحيح يؤثر سلبيا على مقارنة القياسات ويحتاج لمساعدة ومحاولات متعددة لتصحيح مسار عمله. | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | ربط القياس بالحياة اليومية | يوظف قياس الطول. | يوظف قياس الطول في مواقف حياتية. | يطبق القياس لحل مشكلاته اليومية باستقلالية، كاستخدام قدمه لمعرفة هل يمكن ادخال سرير جديد لغرفته، أو شبره لاختيار حزام مناسب الطول له. | يستجيب للمواقف الحياتية ويستخدم القياس فيها عند توجيهه أو مساعدته. | يواجه صعوبة في ربط مهارة القياس بمواقفه اليومية، ويحتاج إلى نموذجا عمليا لتقليده. | يواجه صعوبة في ربط مهارة القياس بمواقفه اليومية، ويحتاج إلى نموذجا عمليا لتقليده. | الدقة والإتقان في استخدام أدوات القياس وربطه بمواقف الحياة اليومية، احترام الوقت وتنظيمه
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | ربط القياس بالحياة اليومية | يوظف قياس الزمن | يستخدم قياس الزمن في مواقف حياتية | يطبق قياس الزمن في حياته اليومية كأن يبني جدولا زمنيا مبنيا على الوقت بالساعة الكاملة وبرنامجه الدراسي الاسبوعي | يطبق قياس الزمن في حياته اليومية كأن يذكر برنامج يومه بالساعات لفظيا برنامجه الدراسي اليومي ولكنه يحتاج الى ارشاد لتنظيم برنامجه اليومي أو الأسبوعي كتابيا | يحتاج الى مساعدة في تنظيم برنامجه اليومي بالاعتماد على الساعة | يحتاج الى مساعدة في تنظيم برنامجه اليومي بالاعتماد على الساعة | 
الهندسة والقياس | ممارسة استخدام الأدوات بذكاء | ربط القياس بالحياة اليومية | يفسر نتائج القياس في الواقع | يربط نتائج القياس بالقرارات الواقعية | يربط القياس بقرارات واقعية صحيحة، فيفسر مثلاً أن قياس طول سجادة (6 أقدام) مناسب لغرفة قياس طولها (8 أقدام) . | يفهم النتيجة الواقعية للقياس، ولكنه يحتاج الى ارشاد بسيط للتعبير عن النتيجة أو تفسيرها في سياق الموقف الحياتي. | يجد صعوبة في تفسير نتائج القياس في الواقع ويحتاج الى نماذج تفسيرية لتقليدها. | يجد صعوبة في تفسير نتائج القياس في الواقع ويحتاج الى نماذج تفسيرية لتقليدها. | 
الهندسة والقياس | ممارسة النمذجة الرياضية | ربط القياس بالحياة اليومية | يتخذ قرارات بناء على القياس | يتخذ قرارات بسيطة اعتماداً على قياس الطول | يتخذ قراراً صحيحاً ومستقلاً بناءً على القياس، كاختيار علبة الأقلام الأطول لتتسع لمساطره، أو اختيار سجادة مناسبة لأبعاد غرفته . | يتخذ القرار المناسب ويحتاج الى توجيه بسيط واكثر من محاولة للتعبير عن قراره. / . | يختار الأشياء والأدوات بشكل عشوائي دون الاعتماد على قياساتها، مما يؤدي لاتخاذ قرارات غير مناسبة. | يختار الأشياء والأدوات بشكل عشوائي دون الاعتماد على قياساتها، مما يؤدي لاتخاذ قرارات غير مناسبة. | المسؤولية والأمانة والاعتماد على الذات وترشيد الموارد
الهندسة والقياس | ممارسة النمذجة الرياضية | ربط القياس بالحياة اليومية | يتخذ قرارات بناء على القياس | يتخذ قرارات بسيطة اعتماداً على قياس الزمن | يتخذ قرارات صحيحة ومستقلة تناسب الموقف بناءً على الوقت المتاح له. / مثلا: / يقرر بنفسه متى يوقف اللعب لأن ساعة النوم حانت (مثلاً: الساعة 8 تماماً) | يتخذ قرارات تناسب الموقف بناءً على الوقت المتاح له. ويحتاج الى تلميح كأن يستجيب عند سؤاله: "الساعة الآن 4 تماماً، فماذا يجب أن تفعل حسب برنامجك؟" | يواجه صعوبة في ترتيب برنامجه بناء على الزمن والوقت بالساعة الكاملة. | يواجه صعوبة في ترتيب برنامجه بناء على الزمن والوقت بالساعة الكاملة. | 
الهندسة والقياس | ممارسة البحث عن البنية الرياضية | اكتشاف الأنماط الرياضية | يستكمل الأنماط | يستكمل نمط هندسي معروض. | يستكمل النمط بعد اكتشاف النمط الهندسي المعروض أمامه بشكل صحيح. | يستكمل الأنماط السهلة مثل صورة تعبر عن نمط هندسي واضح (دائرة، مربع، دائرة، مربع،....) / ولكنه يخطئ أو يتردد في الأنماط التي تعتمد على تغييرات غير مألوفة في النمط. | يواجه صعوبة في معرفة النمط أو متابعته، ويضع اجابات غير متسلسلة ويحتاج لنموذج محلول يمكنه محاكاته لكن دون فهم الاجراء الرياضي في النمط. | يواجه صعوبة في معرفة النمط أو متابعته، ويضع اجابات غير متسلسلة ويحتاج لنموذج محلول يمكنه محاكاته لكن دون فهم الاجراء الرياضي في النمط. | المثابرة والصبر والالتزام وحب التعلم والاستكشاف، الثقة بالنفس، الاحترام والتعاون، العناية بالبيئة المحيطة
الهندسة والقياس | ممارسة البحث عن البنية الرياضية | اكتشاف الأنماط الرياضية | يصف الأنماط | يعبر عن نمط معروض. | يعبر لفظياً وكتابياً عن النمط بدقة وبأسلوبه الخاص بلغة رياضية وبطلاقة | يعبر لفظياً وبعموميات عن النمط الذي يتمكن من حله ولكنه يجد صعوبة في صياغة وصفا رياضياً لبناء النمط دون مساعدة. | يحتاج الى مساعدة وتوجيه لشرح أو وصف النمط، | يحتاج الى مساعدة وتوجيه لشرح أو وصف النمط، | 
الهندسة والقياس | ممارسة البحث عن البنية الرياضية | اكتشاف الأنماط الرياضية | ينشىء أنماط جديدة | ينشىء نمط هندسي جديد. | ينشئ ويبتكر ويصمم نمطاً هندسياً خاصاً به، معبرا عنه لفظياً وكتابياً بدقة وبأسلوبه الخاص بشكل مستقل ومبدع. | ينشئ نمطاً جديداً، ولكنه يكرر أنماطا تقليدية بسيطة / وقد يخطئ في الحفاظ على ثبات النمط. | يواجه صعوبة في ابتكار نمط عددي بمفرده، ويحتاج لنقل نمط جاهز أو مساعدته خطوة بخطوة. | يواجه صعوبة في ابتكار نمط عددي بمفرده، ويحتاج لنقل نمط جاهز أو مساعدته خطوة بخطوة. | 
الهندسة والقياس | ممارسة البحث عن البنية الرياضية | تحليل الخصائص الهندسية للأشكال المستوية | يتعرف الى خصائص الأشكال الهندسية | يتعرف إلى القطعة المستقيمة والخط المنحني والأشكال المستوية (مربع، مستطيل، مثلث، دائرة) | يتعرف الى القطعة المستقيمة والخط المنحني والأشكال المستوية (مربع، مستطيل، مثلث، دائرة) بشكل وصحيح وبطلاقة موظفاً التسمية الصحيحة لها. | يتعرف الى القطعة المستقيمة والخط المنحني والأشكال المستوية (مربع، مستطيل، مثلث، دائرة) ولكنه قد يخلط أحياناً بين المربع والمستطيل إذا كانت أبعادهما متقاربة. | يشير الى الأشكال المستوية بشكل عشوائي، ويميز الدائرة والمثلث عن المربع والمستطيل ولا يميز المربع عن المستطيل. | يشير الى الأشكال المستوية بشكل عشوائي، ويميز الدائرة والمثلث عن المربع والمستطيل ولا يميز المربع عن المستطيل. | تقدير النظام والترتيب والدقة في رسم الأشكال والزخارف الهندسية، حب الاستطلاع
الكسور |  | تحليل الخصائص الهندسية للأشكال المستوية | يتعرف الى خصائص الأشكال الهندسية | يتعرف إلى القطعة المستقيمة والخط المنحني والأشكال المستوية (مربع، مستطيل، مثلث، دائرة) | يتعرف الى القطعة المستقيمة والخط المنحني والأشكال المستوية (مربع، مستطيل، مثلث، دائرة) بشكل وصحيح وبطلاقة موظفاً التسمية الصحيحة لها. | يتعرف الى القطعة المستقيمة والخط المنحني والأشكال المستوية (مربع، مستطيل، مثلث، دائرة) ولكنه قد يخلط أحياناً بين المربع والمستطيل إذا كانت أبعادهما متقاربة. | يشير الى الأشكال المستوية بشكل عشوائي، ويميز الدائرة والمثلث عن المربع والمستطيل ولا يميز المربع عن المستطيل. | يشير الى الأشكال المستوية بشكل عشوائي، ويميز الدائرة والمثلث عن المربع والمستطيل ولا يميز المربع عن المستطيل. | تقدير النظام والترتيب والدقة في رسم الأشكال والزخارف الهندسية، حب الاستطلاع
الكسور | ممارسة التفكير الكمي والتجريدي | بناء معنى الكسر | يبني مفهوم الكسر | يتعرف الى الكسر بوصفه جزءا/أجزاء من شكل مقسم الى أجزاء متساوية | يتعرف الى مفهوم الكسر بوصفه جزءا/أجزاء من شكل مقسم الى أقسام متساوية ويميز الكسر نصف وربع ويفسر اجابته. | يتعرف الى مفهوم الكسر بوصفه جزءا/أجزاء من شكل مقسم الى أقسام متساوية، ويحتاج لتلميح لبناء تفسير للكسر خاصة في الاشكال الغير مألوفة له. | يتعرف الى مفهوم الكسر بوصفه جزءا/أجزاء من شكل مقسم الى أقسام متساوية، ويحتاج لتلميح لبناء تفسير للكسر خاصة في الاشكال الغير مألوفة له. | يحتاج لمساعدة في تمييز الكسر وقد يطلق على أي جزء من شكل مقسوم بكسر دون التأكد من تساوي الأجزاء. | 
الكسور | ممارسة التفكير الكمي والتجريدي | بناء معنى الكسر | يتعرف الى جزء الشكل وربطه بالكسر | يتعرف الى الشكل المقسوم الى قسمين متساوية/متطابقين أو أربعة | يميز الأشكال المقسمة بالتساوي (إلى أنصاف أو أرباع) ويستبعد الأشكال غير المتساوية ويفسر اجابته بدقة. | يحدد الأشكال البسيطة المقسمة بوضوح (المربع، المستطيل، الدائرة) ، لكنه قد يتردد في الأشكال المقسمة الغير مألوفة (التي لم يمر مع الطالب شكلها الهندسي سابقا. | يحدد الأشكال البسيطة المقسمة بوضوح (المربع، المستطيل، الدائرة) ، لكنه قد يتردد في الأشكال المقسمة الغير مألوفة (التي لم يمر مع الطالب شكلها الهندسي سابقا. | يخلط بين الأشكال المقسمة عشوائياً والأشكال المقسمة بالتساوي، ويحتاج للمساعدة للتمييز بينها. | 
الكسور | ممارسة التفكير الكمي والتجريدي | بناء معنى الكسر | يتعرف الى مفهوم الكسر نصف/ربع | يتعرف الى مفهوم الكسر نصف وربع ويعبر عنه في الرموز | يتعرف الى مفهوم الكسر نصف بوصفه جزء واحد من شكل مقسم الى قسمين متساوية. / يتعرف الى مفهوم الكسر ربع بوصفه جزء واحد من شكل مقسم الى أربعة أقسام متساوية. ويعبر عن ذلك في الرموز بطلاقة. | يتعرف الى مفهوم الكسر نصف وربع، ويقارن بينهما لكنه قد يتردد في تمييز الكسر نصف/ربع في الأشكال المقسمة بشكل غير مألوف أو يقلب أحيانا الكسر أو يخلط بين الكسر وعدد أجزائه. | يتعرف الى مفهوم الكسر نصف وربع، ويقارن بينهما لكنه قد يتردد في تمييز الكسر نصف/ربع في الأشكال المقسمة بشكل غير مألوف أو يقلب أحيانا الكسر أو يخلط بين الكسر وعدد أجزائه. | يواجه صعوبة في تمييز الأشكال الممثلة للكسر نصف وربع ويعبر عنها بشكل عشوائي. | 
الكسور | ممارسة النمذجة الرياضية | الربط بين جزء الشكل الممثل للكسر والبيئة | يربط بين مفهوم الكسر والبيئة | يربط بين جزء الشكل (نصف، ربع) والبيئة | يربط المفاهيم الرياضية (النصف والربع) بعناصر البيئة بذكاء واستقلالية. ويحدد أجزاء العناصر الطبيعية (مثل: "نصف البرتقالة"، "ربع رغيف الخبز")، | يربط بين الكسور وعناصر البيئة بمثال مألوف وبوضوح ، مثلاً عندما يُطلب منه تقسيم تفاحة إلى نصفين أو أربعة أرباع، لكنه يحتاج إلى تشجيع لابتكار أمثلة بيئية جديدة من تلقاء نفسه | يربط بين الكسور وعناصر البيئة بمثال مألوف وبوضوح ، مثلاً عندما يُطلب منه تقسيم تفاحة إلى نصفين أو أربعة أرباع، لكنه يحتاج إلى تشجيع لابتكار أمثلة بيئية جديدة من تلقاء نفسه | يواجه صعوبة في رؤية أو تطبيق مفهوم النصف والربع على الأشياء الحقيقية في الطبيعة. | حب الوطن والاعتناء بنظافته ومرافقه العامة، ترشيد الموارد البيئية، حب الاستكشاف، التعاون
الكسور | ممارسة النمذجة الرياضية | تمثيل الكسور بالنماذج | يبني نماذج تمثّل الكسور نصف وربع | يبني نماذج تحاكي الكسر نصف وربع | يبني نماذج تحاكي الكسرين( نصف وربع) بتقسيم الأشكال الى أجزاء متطابقة، وتمثيل النصف بالرسم أو المحاكاة الحسية دون أي خطأ، شارحا نموذج عمله بثقة. | يبني نماذج تحاكي الكسرين (نصف وربع)، ولكنه قد يرسم أجزاءً غير متساوية تماماً في الحجم، ثم يصحح خطأه بمجرد تنبيهه أو مقارنة نموذجه بنموذج جاهز. | يبني نماذج تحاكي الكسرين (نصف وربع)، ولكنه قد يرسم أجزاءً غير متساوية تماماً في الحجم، ثم يصحح خطأه بمجرد تنبيهه أو مقارنة نموذجه بنموذج جاهز. | يواجه صعوبة في تقسيم الشكل إلى أجزاء متساوية، أو يلون عدداً عشوائياً من الأجزاء دون ربطها بالكسر المطلوب (نصف أو ربع)، | الدقة والتنظيم، المرونة في الاختيار المناسب،حب الاستكشاف،احترام النظام، الانتماء للمجتمع
