كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الثاني الأساسي 2026-2027(تم تعديل جميع الاعمدة بحيث يكون اول عمودين مصادر والبقية أفعال)
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | نتاجات التعلم | مستوى الانجاز | مستوى الانجاز | مستوى الانجاز | القيم
الكسور | ممارسةفهم المسألة والمثابرة في حلها | ممارسةفهم المسألة والمثابرة في حلها | تحليلالمواقف المرتبطة بالكسور | يتحققمن معقولية الناتج | يتحققمن معقولية الناتج | يتحققمن معقولية الحل | يكتشف الخطأ ذاتياً (مثل: إذا كان ناتج تظليل الربع مساوياً لنصف الشكل، يدرك فوراً أن هناك خللاً في التقسيم). | يشعر أن الإجابة قد تكون خاطئة بناءً على النظر، ولكنه يحتاج لمساعدة لتحديد سبب الخطأ وتصحيحه. | يكتب أو يرسم أي ناتج ويقبل به، حتى لو كان التناقض البصري واضحاً جداً (مثل تظليل الكل بدلاً من الجزء). | 
القياس | ممارسةاستخدام الأدوات بذكاء | ممارسةاستخدام الأدوات بذكاء | اختيارأدوات القياس المناسبة ويوظفها | يختاروحدة القياس المناسبة | يختاروحدة القياس المناسبة | يختاروحدة قياس الطول (سم، م) | يختار الوحدة المعيارية (م، سم) الصحيحة والمناسبة تماماً لشيء محدد بدقة. | يختار وحدة القياس الصحيحة(سم، م) أحياناً، أو يتردد بين الوحدات المتطابقة. | يختار وحدة قياس غير منطقية للشيء المراد قياسه (مثل قياس طول قلم بالكيلومتر). | تحمل المسؤولية، التعاون، التواصل الايجابي، ضبط النفس،احترام قواعد السلامة،تقدير أهمية الدقة في الحياة اليومية، الوعي بالاستخدام الرشيد للأدوات، تقدير قيمة الوقت
القياس | ممارسةاستخدام الأدوات بذكاء | ممارسةاستخدام الأدوات بذكاء | اختيارأدوات القياس المناسبة ويوظفها | يختاروحدة القياس المناسبة | يختاروحدة القياس المناسبة | يختاروحدة قياس الزمن المناسبة / (يوم، ساعة، دقيقة) | يختار الوحدة المناسبةيوم أو ساعة أو دقيقة لوصف زمن أحداث ومواقف حياتية مختلفة بدقة وبشكل مستقل. | يحدد الوحدة المناسبة للأحداث المألوفة جداً (مثل: زمن حصة، أو زمن النوم)، لكنه يتردد في التمييز بينهما عند تصنيف أنشطة متقاربة. | يخلط بين مفهومي الساعة والدقيقة، ويحتاج إلى أمثلة محسوسة وتوجيه مستمر للتمييز بين الحدث القصير والحدث الطويل. | تحمل المسؤولية، التعاون، التواصل الايجابي، ضبط النفس،احترام قواعد السلامة،تقدير أهمية الدقة في الحياة اليومية، الوعي بالاستخدام الرشيد للأدوات، تقدير قيمة الوقت
القياس | ممارسةاستخدام الأدوات بذكاء | ممارسةاستخدام الأدوات بذكاء | اختيارأدوات القياس المناسبة ويوظفها | يستخدمأدوات القياس بصورة صحيحة | يستخدمأدوات القياس بصورة صحيحة | يستخدمأدوات قياس الطول: (كالمسطرة، المتر، شريط القياس) بصورة صحيحة وبشكل مستقل. | يستخدم أداة القياس (المسطرة) بطريقة علمية صحيحة (كالابتداء من الصفر) وبشكل مستقل. | يستخدم الأداة بشكل صحيح لكنه يحتاج لتوجيه بسيط (كتذكيره بالبدء من الصفر). | يواجه صعوبة في وضع الأداة أو قراءة التدريج بشكل صحيح ويتطلب مساعدة كاملة. | 
القياس | ممارسةاستخدام الأدوات بذكاء | ممارسةاستخدام الأدوات بذكاء | اختيارأدوات القياس المناسبة ويوظفها | يستخدمأدوات القياس بصورة صحيحة | يستخدمأدوات القياس بصورة صحيحة | يستخدمأدوات قياس الزمن بصورة صحيحة | يقرأ الوقت من الساعة (الرقمية وذات العقارب) بدقة وبشكل مستقل، ويضبط عقارب الساعة لتمثيل وقت محدد دون أخطاء. | يقرأ الوقت الصحيح عند الساعات الكاملة ونصف الساعة. لكنه يتردد أو يخطئ أحياناً عند قراءة الربع ساعة أو تحديد موقع عقرب الساعات الصغير بدقة. | يجد صعوبة في التمييز بين عقرب الساعات وعقرب الدقائق، ويحتاج إلى مساعدة مستمرة ومطابقة بصرية لقراءة الوقت. | 
القياس | ممارسةاستخدام الأدوات بذكاء | ممارسةاستخدام الأدوات بذكاء | اختيارأدوات القياس المناسبة ويوظفها | يقارنالقياسات باستخدام أدوات مناسبة | يقارنالقياسات باستخدام أدوات مناسبة | يقيس أطوال أشياء بدقة مستخدماً الأداة المناسبة، ويقارن بينها مستخدماً مفاهيم (أطول من، أقصر من، يساوي) بشكل مستقل وصحيح. | يقيس طول شيئين بدقة مستخدماً الأداة المناسبة، ويقارن بينهما مستخدماً مفاهيم (أطول من، أقصر من، يساوي) بشكل مستقل وصحيح. | يقارن الأطوال بشكل صحيح عند المقارنة البصرية المباشرة، لكنه يخطئ أحياناً في تحديد الأطول والأقصر عند الاعتماد على قراءة أرقام القياس (السنتمترات). | يصعب عليه ترتيب أو مقارنة الأطوال حتى مع وجود الأداة، ويخلط بين مفهومي "الأطول" و"الأقصر" دون توجيه مباشر. | 
القياس | ممارسةاستخدام الأدوات بذكاء | ممارسةاستخدام الأدوات بذكاء | اختيارأدوات القياس المناسبة ويوظفها | يقارنالقياسات باستخدام أدوات مناسبة | يقارنالقياسات باستخدام أدوات مناسبة | يقارنقياسات الزمن | يحدد بدقة أي الحدثين يستغرق وقتاً (أطول/أقصر) بناءً على قراءة الساعة أو حساب الفترات المألوفة بشكل صحيح ومستقل. | يقارن بين فترات زمنية متباعدة جداً (مثل: دقيقة مقابل ساعة)، ولكنه يتردد أو يخطئ عند مقارنة فترات متقاربة (مثل: 45 دقيقة مقابل ساعة). | لا يربط بين حركة عقارب الساعة ومدلول الوقت، ويصدر أحكاماً عشوائية حول الحدث الذي يستغرق وقتاً أطول. | 
القياس | ممارسةالنمذجة الرياضية | ممارسةالنمذجة الرياضية | يربط القياس بالسياقات الحياتية | يستخدمالقياس في مواقف حياتية | يستخدمالقياس في مواقف حياتية | يربطوحدات القياس وأدواتها في الواقع | يربط بين مواقف الحياة اليومية وأدوات القياس المناسبة لها ويطبقها ذاتياً وبكفاءة. | يطبق القياس في مواقف حياتية مألوفة، ولكنه يحتاج إلى توجيه عند تغيير السياق. | يواجه صعوبة في معرفة متى أو كيف يطبق عملية القياس خارج إطار المسألة الصفية. | الدقة، المسؤولية، حب الاستكشاف ، التواصل الايجابي،الدقة، التفكير الناقد، تقدير أهمية القياس في الحياة اليومية، الانتماء للمجتمع
القياس | ممارسةالنمذجة الرياضية | ممارسةالنمذجة الرياضية | يربط القياس بالسياقات الحياتية | يفسرنتائج القياس في الواقع | يفسرنتائج القياس في الواقع | يفسرنتائج القياس | يحلل القياساتالناتجة عن القياس ويشرح دلالتها العملية في الواقع بدقة (مثل: وزن الحقيبة زائد). | يصف نتيجة القياس كقيمة رقمية، لكنه يحتاج لأسئلة موجهة لربطها بالواقع. | يقرأ نتيجة القياس كعدد مجرد دون إدراك لمعناها أو دلالتها في الواقع المحيط. | 
القياس | ممارسةالنمذجة الرياضية | ممارسةالنمذجة الرياضية | يربط القياس بالسياقات الحياتية | يستخدمالقياس في اتخاذ قرارات بسيطة | يستخدمالقياس في اتخاذ قرارات بسيطة | يتخذقرارات ذات علاقة بالقياس | يتخذ قراراً صحيحاً ومبرراً بناءً على مقارنة بيانات القياس (طول أو زمن)، مثل اختيار الأداة الأنسب لموقف حياتي محدد وبشكل مستقل. | يتخذ القرار الصحيح بالاعتماد على القياس، ولكنه يجد صعوبة في تبرير سبب اختياره، أو يحتاج إلى توجيه لربط رقم القياس بالقرار. | يتخذ قرارات عشوائية مبنية على التخمين دون الرجوع إلى القياسات (مثلاً: يختار علبة صغيرة جداً لحفظ كتاب طويل رغم امتلاكه أداة قياس). | 
القياس | ممارسةالنمذجة الرياضية | ممارسةالنمذجة الرياضية | يوظف مهارات القياس في مواقف متنوعة | يقيسالأطوال / والأزمنة | يقيسالأطوال / والأزمنة | يقيس أطوال الأشياء بدقة ويقارن بينها مستخدماً الإشارات والألفاظ الرياضية الصحيحة. | يقيس أطوال الأشياء بدقة ويقارن بينها مستخدماً الإشارات والألفاظ الرياضية الصحيحة. | يقيس الأطوال بشكل صحيح، لكنه يخطئ أحياناً في ترتيبها أو المقارنة بينها. | يحتاج مساعدة في قراءة طول الشيء وتحديد الأطول أو الأقصر. | الدقة، المسؤولية، التواصل الايجابي،الانضباط
القياس | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | فهم العلاقات بين المقادير ووحدات القياس وتمثيلها وتحويلها | يحول بين وحدات القياس | يحول بين وحدات القياس | يحول بين وحدات القياس(المتر و السم، الساعات والدقائق) | يحول بين وحدات القياس (المتر والسنتيمتر، الساعات والدقائق) بدقة وسرعة، ويستخدم العلاقات بينها بشكل صحيح في حل المسائل. | يحول بين وحدات القياس (المتر والسنتيمتر، الساعات والدقائق) بشكل جيد، مع وجود بعض الأخطاء البسيطة أو الحاجة إلى التحقق أحيانًا. | يحاول التحويل بين وحدات القياس (المتر والسنتيمتر، الساعات والدقائق)، لكنه يواجه صعوبة في تحديد العلاقات بينها ويحتاج إلى دعم وتوجيه مستمر. | العناية والدقة، الاتقان، حب الاستكشاف، التنظيم، احترام النظام
القياس | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | ينتقل بين التقدير والقياس الفعلي | يقدرالقياسات قبل القياس | يقدرالقياسات قبل القياس | يقدرالقياسات قبل القياس الدقيق | يقدّر القياس (الطول) بالنظر تقديراً منطقياً، وبدقة. | يقدّر بشكل قريب من الواقع بمساعدة وتوجيه من المعلم. | يعطي تقديرات عشوائية بعيدة جداً عن الواقع. | الدقة والتنظيم، حب الاستكشاف، المسؤولية
القياس | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | ينتقل بين التقدير والقياس الفعلي | يقارنالتقدير بالقياس الفعلي | يقارنالتقدير بالقياس الفعلي | يقارنالتقدير بالقياس الحقيقي | يقارن التقدير بالقياس الفعلي بدقة وبسرعة. | يحتاج لمساعدة في صياغة المقارنة مع القياس الفعلي. | لا يربط بين التقدير والقياس الحقيقي. | 
القياس | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | ينتقل بين التقدير والقياس الفعلي | يفسرنتائج القياس | يفسرنتائج القياس | يفسردلالة نتائج القياس | يفسر دلالة القياساتالناتجة عن القياس ويستخدمها لحل مشكلة أو اتخاذ قرار حياتي بسيط. | يفهم معنى نتيجة القياس لكنه يتردد في ربطها باتخاذ قرار عملي في موقف حياتي. | يقرأ الأرقام كقيم مجردة دون فهم دلالتها في الواقع أو القدرة على التصرف بناءً عليها. | 
القياس | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | تفسيرمعنى المجسم | يتعرفالى المجسمات | يتعرفالى المجسمات | يحدد المكعب والاسطوانة | يُسمّي المكعب والأسطوانة بشكل صحيح وفوري عند الإشارة إليهما، ويميزهما بدقة دون خلط بينهما وبين مجسمات أخرى (كالكرة أو متوازي المستطيلات). | يُسمّي المجسمين بنجاح، لكنه قد يتردد أو يخلط أحياناً بين الأسطوانة والمكعب، أو يحتاج لتوجيه بسيط للتمييز بينهما في مجموعة مختلطة. | يتعرف على المجسم بعد تسميته له من قِبل المعلم، ويشير إليه بمساعدة بصرية أو توجيه لفظي مستمر. | التأمل، حب الاستكشاف، التواصل مع البيئة، احترام النظام
القياس | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | يحلل العلاقات المكانية والهندسية | يحددخصائص المجسمات | يحددخصائص المجسمات | يحدد خصائص المكعب | يحدد بشكل مستقل وبدقة أن للمكعب 6 أوجه مربعة متطابقة، و8 رؤوس، و12 حرفاً، مستخدماً نموذجاً ملموساً. | يحدد خصائص المكعب (الأوجه، الرؤوس، الأحرف) ولكنه يخطئ في عد الأحرف أو الرؤوس ويتدارك خطأه عند إعادة العد أو التوجيه. | يربط المكعب بشكل الوجه المربع، ولكنه يحتاج دعمامن اجل تحديد عدد الرؤوس أو الأحرف بشكل صحيح. | تذوّق الجمال والتناسق والنظام والترتيب والتأمّل في إبداع الخالق
القياس | ممارسةالتفكير الكمي والتجريدي | ممارسةالتفكير الكمي والتجريدي | يحلل العلاقات المكانية والهندسية | يحددخصائص المجسمات | يحددخصائص المجسمات | يحدد عناصر الاسطوانة | يحدد بدقة أن للأسطوانة قاعدتين دائريتين وسطحاً منحنياً، ويوضح عدم وجود رؤوس أو أحرف مستقيمة لها. | يحدد أن الأسطوانة دائرية وتتدحرج، ويعرف أن لها قاعدتين، لكنه قد يخطئ في وصف السطح المنحني أو يخلط في مصطلح "رأس". | يلاحظ أن الأسطوانة تشبه "العلبة" وتتدحرج، ولكنه لا يستطيع تحديد شكل القاعدة أو عدد القواعد بشكل مستقل. | تذوّق الجمال والتناسق والنظام والترتيب والتأمّل في إبداع الخالق
الهندسة والقياس (1) | ممارسةاستخدام الأدوات بذكاء /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالتفكير الكمي والتجريدي | توظيف الأدوات الهندسية | توظيف الأدوات الهندسية | يستخدمأدوات الرسم: / -رسم قطعة مستقيمة / -مربع ومستطيل ومثلث / -رسم شكل تقريبي للدائرة | -يرسم الشكل الهندسي المطلوب بشكل سليم | -يرسم الشكل الهندسي المطلوب بشكل سليم | يختار أداة الرسم المناسبة حسب الشكل المطلوب رسمه من قطع مستقيمة أو خط منحني ويمسك المسطرة بثبات تام بيد واحدة ويرسم بالقلم باليد الأخرى خطوطاً مستقيمة واضحة دون أي تعرج. / يرسممربّع، مستطيل، مثلث علىشبكةالمربّعات باستخدامالمسطرة بدقة وثقة.يرسمدائرةبالتوصيلبينمجموعةمنالنقاط بسرعة ودقة واتقان | يختار أداة الرسم المناسبة حسب الشكل المطلوب رسمه من قطع مستقيمة ويمسك ويرسم بالقلم باليد الأخرى خطوطاً مستقيمة مع وجود تعرجات بسيطة لا تؤثر على الرسم / ويوظف حواف دائرية لمحاكاة رسم الدائرة / يرسممربّع، مستطيل، مثلث علىشبكةالمربّعات باستخدامالمسطرة لكنه بحاجة إلى مزيد من التدريب لزيادة الدقة. / يرسمدائرةبالتوصيلبينمجموعةمنالنقاط مع وجود بعض الأخطاء. | يختار أداة الرسم ويرسم مع وجود تعرجات ويحتاج للمساعدة في تحسين رسمه وتقديم الارشادات. / يواجه صعوبة في رسممربّع، مستطيل، مثلث علىشبكةالمربّعات باستخدامالمسطرة ويحتاج إلى مساعدة. / يواجه صعوبة فيرسمدائرةبالتوصيلبينمجموعةمنالنقاط ويحتاج إلى تدريب ومساعدة. | حب الاستكشاف، التنظيم ،تقدير النظام والترتيب والدقة في رسم الأشكال والزخارف الهندسية
الهندسة والقياس (1) | ممارسةاستخدام الأدوات بذكاء /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالتفكير الكمي والتجريدي | توظيف الأدوات الهندسية | توظيف الأدوات الهندسية | يبنيالأشكال بالمحسوسات | -يشكل الشكل الهندسي المطلوب منه بشكل صحيح سواء بالعيدان او المعجون او الخيوط ... | -يشكل الشكل الهندسي المطلوب منه بشكل صحيح سواء بالعيدان او المعجون او الخيوط ... | -يشكل القطعة المستقيمة والخط المنحني بالمعجون أو الخيوط بدقة. / -يشكّل المربع والمستطيل والمثلث الدائرة باستخدام المحسوسات (كالأعواد والقش) بحيث تكون الأشكال مغلقة. | - يشكل الخطوط المستقيمة والمنحنية بالمحسوسات، لكنه يحتاج أحياناً إلى توجيه ليعرف متى يكون الخط مستقيماً تماماً. / -يجمع الأعواد لتكوين أشكال مستوية (كالمثلث أو المربع)، ولكن قد تتركب الأضلاع فوق بعضها أو تنفتح زوايا الشكل قليلاً | يميز شكل القطعة المستقيمة عن الخط ويحاول تشكيل القطعة المستقيمة والخط المنحني من الخيوط. / يضع الخيطان او العيدان مثلا بجانب بعضها بشكل عشوائي ويجد صعوبة في ربطها معاً لتكوين شكل مستوٍ مغلق (كالمربع أو المثلث ـو المستطيل). | 
الهندسة والقياس (1) | ممارسةاستخدام الأدوات بذكاء /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالتفكير الكمي والتجريدي | تحليل الخصائص الهندسية | تحليل الخصائص الهندسية | يتعرفإلى الأشكال المستوية | -يذكر اسم الشكل الهندسي الذي اماه / -يميز بين الاشكال الهندسية | -يذكر اسم الشكل الهندسي الذي اماه / -يميز بين الاشكال الهندسية | يسمي الأشكال المستوية (مربع، مستطيل، مثلث، دائرة) بشكل فوري وصحيح عند الإشارة إليها. / -يميز بدقة أن المربع والمستطيل والمثلث تتكون من قطع مستقيمة (أضلاع)، بينما الدائرة تتكون من خط منحني مغلق. / -يصنف الأشكال المستوية المختلفة من حوله في غرفة الصف أو في بطاقات تعليمية بناءً على شكلها الهندسي دون أخطاء. | يتعرف على الأشكال المستوية الأربعة، ولكنه قد يتردد أو يخلط أحياناً بين المربع والمستطيل إذا كانت أبعادها متقاربة. / يعرف أن الدائرة تختلف عن بقية الأشكال، ولكنه يحتاج إلى توجيه ليتذكر مسمى "قطعة مستقيمة" أو "خط منحني" عند وصف مكوناتها. | يشير الى الأشكال المستوية بشكل عشوائي، ويميز الدائرة والمثلث عن المربع والمستطيل ولا يميز المربع عن المستطيل / لا يدرك الفرق بين مكونات الأشكال، ولا يميز إن كان الشكل يتكون من خطوط مستقيمة أو منحنيات. | التأمّل، حب الاستكشاف، التواصل مع البيئة / تذوّق الجمال والتناسق والنظام والترتيب
الهندسة والقياس (1) | ممارسةاستخدام الأدوات بذكاء /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالتفكير الكمي والتجريدي | تحليل الخصائص الهندسية | تحليل الخصائص الهندسية | يصفخصائص الأشكال | -يذكر صفات الشكل الهندسي بشكل سليم | -يذكر صفات الشكل الهندسي بشكل سليم | يصف المربع والمستطيل والمثلث بأنها أشكال مغلقة تتكون من قطع مستقيمة، بينما الدائرة تتكون من خط منحني مغلق. / يشرح بوضوح أن المربع والمستطيل له أربعة أضلاع (قطع مستقيمة) ويصف الفرق بين المستطيل والمربع والمثلث بلغته الخاصة. | يذكر أن المربع والمثلث يتكونان من خطوط مستقيمة، ولكنه يحتاج لتذكيره بكلمة "قطعة مستقيمة" أثناء الوصف. / يلاحظ الفرق بين المربع والمستطيل من حيث الطول والقصر، ولكنه يجد صعوبة في صياغة هذا الوصف بلغته الخاصة. | يردد أسماء الأشكال دون القدرة على وصف أي خاصية لها (لا يميز إن كانت مكونة من قطع مستقيمة أو منحنيات). / لا يستطيع التمييز بين خصائص المربع والمستطيل، ويرى أنهما نفس الشكل لأن كلاهما يمتلك أربع قطع. | 
الهندسة والقياس (1) | ممارسةاستخدام الأدوات بذكاء /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالتفكير الكمي والتجريدي | تحليل الخصائص الهندسية | تحليل الخصائص الهندسية | يصنفالأشكال وفق خصائصها | يصنف الاشكال الهندسية حسب خصائصها | يصنف الاشكال الهندسية حسب خصائصها | يفرز مجموعة مختلطة من الأشكال المستوية إلى مجموعات بناءً على نوع الخطوط (مجموعة القطع المستقيمة مقابل مجموعة الخطوط المنحنية). / يصنف الأشكال بدقة حسب عدد أضلاعها (القطع المستقيمة)،. / يستثني الشكل المختلف من بين مجموعة أشكال هندسية ويذكر سبب استبعاده بناءً على خصائصه (مثل: استبعاد الدائرة لأنها منحنى والباقي قطع مستقيمة). | يفرز مجموعة مختلطة من الأشكال المستوية إلى مجموعات بناءً على نوع الخطوط (مجموعة القطع المستقيمة مقابل مجموعة الخطوط المنحنية). / يجمع الأشكال ذات الأضلاع الأربعة معاً (المربع والمستطيل) ولكنه قد يجد صعوبة في التعبير أو تفسير التصنيف. / يحدد الشكل المختلف من بين مجموعة أشكال، لكنه يواجه صعوبة في شرح الخصائص الهندسية التي جعله يختاره كشكل مختلف. | يخلط بين الأشكال الهندسية ويمكنه تصنيف الأشكال حسب الخطوط المكونة لها منحنية او مستقيمة لكنه يجد صعوبة في تصنيفها بناءً على خصائص أخرى. | الدقة، التفكير الناقد، حب الاستكشاف
الهندسة والقياس (1) | ممارسةاستخدام الأدوات بذكاء /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالتفكير الكمي والتجريدي | ربط الهندسة بالسياقات الواقعية | ربط الهندسة بالسياقات الواقعية | يربطبين الشكل أو المجسم والبيئة | -يذكر امثلة على اشكال هندسية يراها في في الحياة | -يذكر امثلة على اشكال هندسية يراها في في الحياة | يستخرج من بيئته أمثلة متنوعة ودقيقة للأشكال المستوية (مثل: السبورة كمستطيل، الساعة كدائرة، إشارة المرور كمثلث) والمجسمات (مثل: علبة المحارم كمتوازي مستطيلات، وحجر النرد كمكعب، والكرة). | يستخرج من بيئته أمثلة متنوعة للأشكال المستوية ولكنه قد يخلط بين متوازي الاضلاع والمكعب أو بين المربع والمكعب أو بين الكرة والدائرة. | لا يمكنه تحديد المجسمات متوازي مستطيلات ومكعب والأشكال المستوية مربع ومستطيل. | الوعي البيئي، التأمل والتفكير البصري المكاني، المسؤولية البيئية /  /  / تقدير الجمال الهندسي والدقة، النظام والترتيب
الهندسة والقياس (1) | ممارسةاستخدام الأدوات بذكاء /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ممارسةالتفكير الكمي والتجريدي | ربط الهندسة بالسياقات الواقعية | ربط الهندسة بالسياقات الواقعية | يستخدمالأشكال في الحياة اليومية | -يفسر استخدام الاشكال الهندسية في الحياة | -يفسر استخدام الاشكال الهندسية في الحياة | يوظف الاشكال الهندسية في مواقف حياتية متنوعة ويشرح استخداماتها بدقة مثل استخدام المستطيل في الابواب والدائرة في الساعة والمربع في الشباك .. | يتعرف الى بعض استخدامات الاشكال الهندسية في الحياة اليومية ويذكر امثلة مناسبة لكنه يواجه صعوبة في توضيح سبب اختيار الشكل | يواجه صعوبة في ربط الاشكال الهندسية باستخداماتها في الحياة اليومية او يقدم امثلة غير مناسبة او غير دقيقة | 
البيانات والاحصاء | ممارسةالنمذجة الرياضية | قراءة البيانات وتمثيلها بالصور | قراءة البيانات وتمثيلها بالصور | يصنفمجموعة من الأشياء وفق صفة معينة | -يصنف مجموعة من الاشياء في جدول حسب الصفة المطلوبة | -يصنف مجموعة من الاشياء في جدول حسب الصفة المطلوبة | - يصنف مجموعة من الأشياء وفق الصفة المطلوبة بدقة وثقة. / -يميز الخصائص المشتركة بين الأشياء ويضعها في المجموعات المناسبة.. / - يبرر تصنيفه مستخدمًا الصفة المعطاة بشكل صحيح. | - يصنف معظم الأشياء وفق الصفة المطلوبة مع بعض الأخطاء البسيطة. / - يميز الخصائص المشتركة بين الأشياء ويحتاج إلى توجيه محدود لإكمال التصنيف. / - يظهر فهماً جيداً لمفهوم التصنيف ويحتاج إلى مزيد من الممارسة لزيادة الدقة. | - يحاول تصنيف الأشياء وفق الصفة المطلوبة لكنه يواجه صعوبة في تحديد المجموعات المناسبة. / - يحتاج إلى دعم متواصل للتعرف إلى الصفة المشتركة بين الأشياء. / - يحتاج إلى مزيد من التدريب لتصنيف الأشياء وفق صفة معينة. | التفكير التحليلي ،اتخاذ القرار، المرونة ، الانتباه للتفاصيل،
البيانات والاحصاء | ممارسةالنمذجة الرياضية | قراءة البيانات وتمثيلها بالصور | قراءة البيانات وتمثيلها بالصور | يقرأبيانات بسيطة ممثلة بالصور | -يقرأ البيانات الممثلة في الجدول بشكل صحيح | -يقرأ البيانات الممثلة في الجدول بشكل صحيح | -يقرأ البيانات الممثلة بالصور بدقة ويستخرج المعلومات المطلوبة بسهولة / -يفسر الصور والرموز ويقارن بين البيانات بشكل صحيح / يحدد أكبر القيم وأقلها ويجيب عن الأسئلة المرتبطة بالتمثيل بالصور بثقة | -يقرأ معظم البيانات الممثلة بالصور بصورة صحيحة مع حاجة بسيطة إلى التوجيه. / - يستخرج بعض المعلومات من التمثيل بالصور ويحتاج إلى دعم عند المقارنة بين البيانات. / -يفسر البيانات الأساسية لكنه يحتاج إلى مزيد من التدريب لزيادة الدقة والسرعة. | - يواجه صعوبة في قراءة البيانات الممثلة بالصور واستخراج المعلومات منها. / -يحتاج إلى مساعدة مستمرة لفهم الرموز والصور المرتبطة بالبيانات. / -يحاول التعرف إلى المعلومات الواردة في التمثيل بالصور ويحتاج إلى مزيد من الممارسة لتنمية مهارته. | 
البيانات والاحصاء | ممارسةالنمذجة الرياضية | قراءة البيانات وتمثيلها بالصور | قراءة البيانات وتمثيلها بالصور | يمثلبيانات بسيطة بالصور | -يمثل بيانات بسيطة في جدول من خلال الرسم | -يمثل بيانات بسيطة في جدول من خلال الرسم | -يمثل البيانات بالصور بدقة وينظمها بصورة صحيحة وواضحة. / -يختار الرمز أو الصورة المناسبة لتمثيل البيانات ويستخدمها بشكل صحيح. / -ينجز التمثيل الصوري بصورة مستقلة مع مراعاة عنوان التمثيل ومفتاحه عند الحاجة. | - يمثل معظم البيانات بالصور بصورة صحيحة مع بعض الأخطاء البسيطة. / - يحتاج إلى تذكير أو توجيه محدود لاختيار الصور المناسبة أو تنظيمها. / - يظهر فهماً جيداً للمهارة ويحتاج إلى مزيد من التدريب لزيادة الدقة | - يحاول تمثيل البيانات بالصور لكنه يواجه صعوبة في تنظيمها أو اختيار الصور المناسبة / - يحتاج إلى دعم ومتابعة مستمرة لإكمال التمثيل بالصور بشكل صحيح / - يتعرف إلى خطوات تمثيل البيانات بالصور ويحتاج إلى مزيد من الممارسة لإتقانها | التفكير البصري، التنظيم، الابداع والدقة
